episode,title,question,option_a,option_b,option_c,option_d,correct,
S2E3,למה אנחנו חולים ואיך מבריאים?,מה ההבדל העיקרי בין חיידק לווירוס לפי הפרק?,וירוס הוא יצור חי וחיידק לא,שניהם אותו הדבר בדיוק,"חיידק הוא יצור חי זעיר, וירוס הוא כמו תוכנית ללא תאים",חיידקים עוזרים תמיד ווירוסים תמיד רעים,אפשרות ג',
S2E3,למה אנחנו חולים ואיך מבריאים?,מה עושות כדוריות הדם הלבנות?,מעבירות חמצן בגוף,יוצרות פצעים חדשים,עוזרות לנו לישון,תוקפות ומחסלות פולשים כמו חיידקים,אפשרות ד',
S2E3,למה אנחנו חולים ואיך מבריאים?,מה תפקיד החיסון לפי ההסבר בפרק?,לאמן את מערכת החיסון לזהות פולש בעתיד,לרפא מחלה שכבר קיימת מיד,להפוך אותנו לבלתי נראים לווירוסים,לגרום לנו להרגיש חולים בכוונה,אפשרות א',
S2E3,למה אנחנו חולים ואיך מבריאים?,למה חשוב לשטוף ידיים עם סבון?,כדי שהידיים יריחו כמו פרחים,כדי להסיר לכלוך שנראה לעין בלבד,כדי להסיר חיידקים ווירוסים שנדבקו לידיים,כדי שהעור יהיה רך יותר,אפשרות ג',
S2E3,למה אנחנו חולים ואיך מבריאים?,"האם כל החיידקים הם ""רעים""?","כן, כולם גורמים למחלות","לא, יש חיידקים שעוזרים לעיכול ושומרים עלינו",רק חיידקים כחולים הם טובים,חיידקים קיימים רק בבתי חולים,אפשרות ב',
S2E3,למה אנחנו חולים ואיך מבריאים?,"איך הגוף ""לומד"" להילחם בווירוס חדש?",הוא שואל את הכישופון,הוא מחכה שהווירוס ילך לבד,הוא מייצר נוגדנים שזוכרים את הפולש,הוא שותה הרבה מיץ פטל,אפשרות ג',
S2E3,למה אנחנו חולים ואיך מבריאים?,מה נדה ניסתה לעשות כדי לא לחלות?,לבנות חליפת מגן נגד וירוסים,לברוח לתאילנד עם סבתא,להפסיק לנשום,לאכול רק סוכריות ורודות,אפשרות א',
S2E3,למה אנחנו חולים ואיך מבריאים?,מה קורה כשיש לנו חום בזמן מחלה?,הגוף התקלקל וצריך לתקן אותו,זה סימן שהגוף נלחם והחום עוזר להרוג פולשים,זה קורה בגלל שאכלנו יותר מדי דייסה,החום מגיע מהשמש,אפשרות ב',
S2E3,למה אנחנו חולים ואיך מבריאים?,"מדוע וירוס צריך ""מארח"" (כמו גוף אדם)?",כי הוא רוצה לשחק,כי הוא לא יכול להתרבות לבד ללא תאים של מישהו אחר,כי הוא מחפש מקום חם לישון בו,כי הוא אוהב לטייל,אפשרות ב',
S2E4,מה כיף בלונה פארק? (פיזיקה בגינת המשחקים),איזה כוח מושך אותנו למטה במגלשה?,כוח המחשבה,כוח צנטריפוגלי,כוח הכבידה (גרביטציה),כוח החיכוך,אפשרות ג',
S2E4,מה כיף בלונה פארק? (פיזיקה בגינת המשחקים),"מהי ""אנרגיה פוטנציאלית"" בנדנדה?",האנרגיה כשאנחנו בשיא המהירות,האנרגיה שנאגרת כשאנחנו בנקודה הכי גבוהה,האנרגיה כשאנחנו עומדים על הרצפה,האנרגיה של הכישופון,אפשרות ב',תשובה נכונה
S2E4,מה כיף בלונה פארק? (פיזיקה בגינת המשחקים),"מהי ""אנרגיה קינטית""?",אנרגיה של תנועה ומהירות,אנרגיה של שינה,אנרגיה של אוכל,אנרגיה של שקט,אפשרות א',
S2E4,מה כיף בלונה פארק? (פיזיקה בגינת המשחקים),איזה כוח גורם לנו להרגיש שאנחנו נדחפים החוצה בקרוסלה מהירה?,כוח הכבידה,כוח המשיכה,כוח החיכוך,כוח צנטריפוגלי,אפשרות ד',
S2E4,מה כיף בלונה פארק? (פיזיקה בגינת המשחקים),"מהו ""חיכוך"" ואיך הוא משפיע במגלשה?",הוא גורם לנו לעוף באוויר,זהו כוח שמתנגד לתנועה ויכול להאט אותנו,הוא עוזר לנו לעלות למעלה,הוא משנה את הצבע של המגלשה,אפשרות ב',
S2E4,מה כיף בלונה פארק? (פיזיקה בגינת המשחקים),למה קשה יותר להניע נדנדה כשיש עליה מישהו כבד?,בגלל הצבע של הנדנדה,בגלל ההתמדה (אינרציה) - גוף כבד רוצה להישאר במקום,בגלל שהחבלים קצרים מדי,בגלל שהאוויר דליל,אפשרות ב',
S2E4,מה כיף בלונה פארק? (פיזיקה בגינת המשחקים),איך אפשר להקטין את החיכוך במגלשה כדי להחליק מהר יותר?,לשים עליה חול,להשתמש במשטח חלק מאוד או במים,ללבוש בגדים מצמר,לטפס לאט יותר,אפשרות ב',
S2E4,מה כיף בלונה פארק? (פיזיקה בגינת המשחקים),מה קורה לאנרגיה הפוטנציאלית כשאנחנו יורדים במגלשה?,היא נעלמת לגמרי,היא הופכת לאנרגיית קול,** היא הופכת לאנרגיה קינטית (תנועה)**,היא הופכת לחום,אפשרות ג',
S2E4,מה כיף בלונה פארק? (פיזיקה בגינת המשחקים),למה אנחנו ממשיכים להתנדנד בנדנדה גם אחרי שהפסקנו לדחוף?,בגלל הרוח,בגלל הקסם של נדה,בגלל התנופה והאנרגיה שנאגרה,בגלל כוח המשיכה של הירח,אפשרות ג',
S2E4,מה כיף בלונה פארק? (פיזיקה בגינת המשחקים),מה גורם לקרוסלה להפסיק להסתובב בסוף?,החיכוך בציר של הקרוסלה והתנגדות האוויר,הכוח הצנטריפוגלי נגמר,כי נגמר הזמן בכישופון,כי השמש שקעה,אפשרות א',
S2E5,מי אני ומה שמי? (על זהות ושמות),מה סבתא של סתיו עשתה עם השם שלה בתאילנד?,שכחה אותו,נתנה אותו לנדה,"שינתה אותו לשם ""שקטי""",הוסיפה לו עוד עשרה שמות,אפשרות ג',
S2E5,מי אני ומה שמי? (על זהות ושמות),מה מייצג שם המשפחה שלנו בדרך כלל?,את האוכל שאנחנו אוהבים,את המשפחה והשורשים שלנו,את העיר שבה נולדנו,את סוג הנעליים שלנו,אפשרות ב',
S2E5,מי אני ומה שמי? (על זהות ושמות),האם השם שלנו הוא הדבר היחיד שקובע מי אנחנו?,"כן, השם הוא הכל","לא, המעשים, המחשבות והתכונות שלנו קובעים",רק השם והגובה קובעים,רק הכישופון יודע מי אנחנו,אפשרות ב',
S2E5,מי אני ומה שמי? (על זהות ושמות),מה רצתה נדה לעשות לגבי הזהות שלה?,להמציא לעצמה שם חדש ומפואר בכל יום,להישאר ללא שם בכלל,להחליף זהות עם סתיו,להפוך לטיגריס,אפשרות א',
S2E5,מי אני ומה שמי? (על זהות ושמות),"מהי ""זהות"" לפי הדיון בפרק?",מספר תעודת הזהות בלבד,הבגדים שאנחנו לובשים,אוסף של כל הדברים שהופכים אותנו למיוחדים ושונים,המקום שבו אנחנו גרים,אפשרות ג',
S2E5,מי אני ומה שמי? (על זהות ושמות),למה אנשים נותנים שמות לחפצים לפעמים?,כי החפצים מבקשים,כדי להרגיש קרובים אליהם או לתת להם אופי,כדי שהחפצים יבואו כשאנחנו קוראים להם,כי זה חוק במדינה,אפשרות ב',
S2E5,מי אני ומה שמי? (על זהות ושמות),איך משפיע השם על הדרך שבה אחרים רואים אותנו?,הוא לא משפיע בכלל,הוא יכול ליצור רושם ראשוני או לספר סיפור על המקור שלנו,הוא קובע אם נהיה גבוהים או נמוכים,הוא משנה את צבע העיניים שלנו,אפשרות ב',
S2E5,מי אני ומה שמי? (על זהות ושמות),"מהי ""תכונה"" של אדם?",השם השני שלו,"משהו באופי שלו, כמו סקרנות או טוב לב",הדרך שבה הוא מסתרק,סוג האוכל שהוא מבשל,אפשרות ב',
S2E5,מי אני ומה שמי? (על זהות ושמות),מה למדה סתיו על עצמה בפרק הזה?,שהיא רוצה להיות אופה,שהיא בעצם וירוס,שהזהות שלה מורכבת מהרבה דברים שהיא אוהבת ועושה,שהיא צריכה להחליף את הכישופון,אפשרות ג',
S2E5,מי אני ומה שמי? (על זהות ושמות),"מדוע נדה חושבת ששמות הם כמו ""תוויות""?",כי הם עשויים מנייר,כי הם עוזרים לנו לסדר ולזהות דברים בעולם,כי אפשר להדביק אותם על הבגדים,כי הם תמיד נופלים בסוף,אפשרות ב',
S2E6,עוד פעם הסיפור הזה? (על סיפורים ודמיון),למה ילדים אוהבים לשמוע את אותו סיפור שוב ושוב?,כי הם שוכחים הכל מיד,כי זה נותן ביטחון והנאה מהדברים המוכרים,כי אין סיפורים אחרים בעולם,כי נדה הכריחה אותם,אפשרות ב',
S2E6,עוד פעם הסיפור הזה? (על סיפורים ודמיון),"מהו סיפור ""הזבובה"" שמוזכר בפרק?",סיפור על זבובה שרצתה להיות מלכה,סיפור על זבובה בתוך הכישופון,סיפור ילדים קלאסי שכתב הסופר זאב,סיפור שנדה המציאה במקלחת,אפשרות ג',
S2E6,עוד פעם הסיפור הזה? (על סיפורים ודמיון),איך סיפורים עברו מאדם לאדם לפני שהיו ספרים?,בעזרת מחשבים,בדיבור וסיפור בעל פה מדור לדור,"הם לא עברו, כל אחד המציא מחדש",בעזרת שלטים ברחוב,אפשרות ב',
S2E6,עוד פעם הסיפור הזה? (על סיפורים ודמיון),"מהו ""חור בהשכלה"" לפי נדה?",חור אמיתי בתוך הספר,משהו חשוב שמישהו לא יודע או לא למד,סוג של גבינה עם חורים,מקום שבו מחביאים את הכישופון,אפשרות ב',
S2E6,עוד פעם הסיפור הזה? (על סיפורים ודמיון),מה קורה לסיפור כשהוא עובר הרבה פעמים מאדם לאדם?,הוא נמחק לגמרי,הוא נשאר בדיוק אותו הדבר,הוא יכול להשתנות ולקבל פרטים חדשים בכל פעם,הוא הופך לסרט,אפשרות ג',
S2E6,עוד פעם הסיפור הזה? (על סיפורים ודמיון),מהו תפקיד הדמיון בסיפור?,לעזור לנו לזכור את המילים,לאפשר לנו לראות את התמונות והדמויות בראש,לצייר את הציורים בספר,להטעין את הסוללה של הכישופון,אפשרות ב',
S2E6,עוד פעם הסיפור הזה? (על סיפורים ודמיון),"מהו ""נושא"" של סיפור?",השם של הגיבור,הצבע של הכריכה,הרעיון המרכזי עליו הסיפור מדבר,מספר העמודים בספר,אפשרות ג',
S2E6,עוד פעם הסיפור הזה? (על סיפורים ודמיון),למה חשוב לספר סיפורים לפי סתיו?,כדי שאנשים לא ידברו אחד עם השני,"כדי לשתף חוויות, ללמד ולחבר בין אנשים",כדי למכור יותר ספרים,כדי שיהיה מה לעשות בלילה,אפשרות ב',
S2E6,עוד פעם הסיפור הזה? (על סיפורים ודמיון),מה נדה ניסתה לעשות עם הסיפורים הישנים?,לשרוף אותם,לשדרג אותם עם הכישופון ולהוסיף להם אפקטים,להפוך אותם למרק תירס,לשלוח אותם לתאילנד,אפשרות ב',
S2E6,עוד פעם הסיפור הזה? (על סיפורים ודמיון),"מהי ""עלילה"" בסיפור?",המקום שבו הסיפור קורה,רצף האירועים שמתרחשים בסיפור,האנשים שמקשיבים לסיפור,הסוף של הסיפור בלבד,אפשרות ב',
S2E6,למה כולם משקרים (אמת ושקר),"מה קורה לאמת בסוף, לפי מה שנאמר בפרק?",היא נעלמת,היא הופכת לשקר,היא תמיד יוצאת לאור בסוף,היא נשארת בתוך הקישופון,אפשרות ג',
s2e7,מה זה הרעש הזה? (על מוזיקה וצלילים),שאלה,אפשרות א',אפשרות ב',אפשרות ג',אפשרות ד',תשובה נכונה,
s2e7,מה זה הרעש הזה? (על מוזיקה וצלילים),מה ניסתה סתיו לעשות בתחילת הפרק?,להקליט עשר דקות של שתיקה,לנגן בגיטרה חשמלית,ללמד את נדה לשיר,להזמין את הקהל למסיבה,אפשרות א',
s2e7,מה זה הרעש הזה? (על מוזיקה וצלילים),מי הוא החבר החדש של סבתא בברזיל?,השכן המסביר,רפי ששן,המוזיקאי ז'ילברטו ז'יל,דן ברומר,אפשרות ג',
s2e7,מה זה הרעש הזה? (על מוזיקה וצלילים),באיזה כלי נגינה סתיו יודעת לנגן?,תופים,כישופון,פסנתר,אקורדיון,אפשרות ד',
s2e7,מה זה הרעש הזה? (על מוזיקה וצלילים),"מהו ""המנון"" לפי ההסבר של סתיו?",שיר ששרים רק במקלחת,שיר שמייצג רעיונות של מדינה,סוג של ריקוד מקפיץ,שיר שנכתב במיוחד לספורטאים,אפשרות ב',
s2e7,מה זה הרעש הזה? (על מוזיקה וצלילים),מי היה המתמודד הראשון באודישנים לכלי נגינה?,שקית ניילון,כוסות יין,צומת סואן,נחל זורם,אפשרות א',
s2e7,מה זה הרעש הזה? (על מוזיקה וצלילים),"למה נפסל ה""צומת"" באודישן?",כי הוא איחר למופע,כי הוא דרש יותר מדי כסף,כי הוא היה רועש מדי וכאב באוזניים,כי הוא לא ידע לשיר,אפשרות ג',
s2e7,מה זה הרעש הזה? (על מוזיקה וצלילים),"מה הייתה הבעיה עם ה""נחל הזורם""?",הוא היה שקט מדי,הוא הרטיב את כל הרצפה,הוא הביא איתו עורבים,הוא ביקש סוללה לכישופון,אפשרות ב',
s2e7,מה זה הרעש הזה? (על מוזיקה וצלילים),מה גורם למוח לזהות צלילים כמוזיקה?,כשהם חזקים מאוד,כשהם נשמעים כמו גשם,כשהם מגיעים מהטבע,כשיש תבנית שחוזרת על עצמה,אפשרות ד',תשובה נכונה
s2e7,מה זה הרעש הזה? (על מוזיקה וצלילים),למה המופע של הכישופון לא עבד בהתחלה?,כי הוא לא היה טעון,כי נדה שכחה את המילים,כי הקהל צעק חזק מדי,כי הכפתור נשבר,אפשרות א',
s2e7,מה זה הרעש הזה? (על מוזיקה וצלילים),איך הסתיים המופע בחג העיר?,נדה רקדה לבד על הבמה,סבתא חזרה מברזיל,כל הקהל שר ביחד עם סתיו ונדה,השכן ניגן סולו תופים,אפשרות ג',
s2e8,מה קרה לשכן המסביר? (על הקול והגרון),מה קרה לשכן המסביר בפרק זה?,הוא עבר דירה,הוא צרוד ואיבד את קולו,הוא הפך לזמר מפורסם,הוא שכח איך לדבר עברית,אפשרות ב',
s2e8,מה קרה לשכן המסביר? (על הקול והגרון),איזה איבר בגוף אחראי על הפקת הקול?,תיבת הקול (הלרינקס),הריאות,האוזניים,האף,אפשרות א',
s2e8,מה קרה לשכן המסביר? (על הקול והגרון),מה גורם לקול להישמע לפי דברי השכן (בדף)?,אוויר שמרעיד את מיתרי הקול,אוכל שעובר בגרון,שתיית מים קרים,צעקות חזקות בבוקר,אפשרות א',
s2e8,מה קרה לשכן המסביר? (על הקול והגרון),"מה הציעה נדה לשכן כ""תרופה""?",לשתות שוקו חם,לישון בתוך המקרר,לבלוע זרעי חרדל קסומים,לעמוד על רגל אחת,אפשרות ג',
s2e8,מה קרה לשכן המסביר? (על הקול והגרון),איך נשמע השכן אחרי שבלע את הזרעים של נדה?,כמו זמר אופרה,"כמו חיות (פרה, כבש, אריה)",כמו הכישופון,הוא התחיל לדבר בפורטוגזית,אפשרות ב',
s2e8,מה קרה לשכן המסביר? (על הקול והגרון),מי הוא הרופא המומחה למחלות גרון?,אורתופד,אופטומטריסט,רופא שיניים,לרינגולוג,אפשרות ד',
s2e8,מה קרה לשכן המסביר? (על הקול והגרון),מה השם הרפואי שנתנה נדה לאובדן הקול?,אפוניה (אל-קוליות),נזלת כרונית,עייפות החומר,דלקת אוזניים,אפשרות א',
s2e8,מה קרה לשכן המסביר? (על הקול והגרון),מה באמת עוזר להחלים מצרידות קשה?,לצעוק חזק יותר,לאכול הרבה גלידה,מנוחה ושתיקה,לעשות סלטות,אפשרות ג',
s2e8,מה קרה לשכן המסביר? (על הקול והגרון),מה רצתה נדה לקנות בבית המרקחת?,סוכרייה על מקל ונצנצים,תרופה לצרידות,משקפי שמש,את הכישופון,אפשרות א',
s2e8,מה קרה לשכן המסביר? (על הקול והגרון),למה השכן המסביר איבד את קולו במקור?,בגלל שהוא אכל חריף,בגלל שהוא צעק במופע תופים,בגלל שהוא שתה מים מהנחל,בגלל שהוא שתק יותר מדי,אפשרות ב',
S2e9,מה יש בראש ההר? (על האוורסט וטיפוס),לאיזה הר החליטו סתיו ונדה לטפס?,החרמון,הר תבור,האוורסט,הר הכרמל,אפשרות ג',
S2e9,מה יש בראש ההר? (על האוורסט וטיפוס),מה הביאה נדה בתיק כדי להתמודד עם השלג?,מייבש שיער (פן),מטרייה ורודה,בגד ים,מגרפה,אפשרות א',
S2e9,מה יש בראש ההר? (על האוורסט וטיפוס),מהו הגובה של הר האוורסט?,"1,000 מטר","8,848 מטר",500 מטר,"10,000 מטר",אפשרות ב',
S2e9,מה יש בראש ההר? (על האוורסט וטיפוס),מי היו הראשונים שהגיעו לפסגת האוורסט?,סתיו ונדה,השכן המסביר,אדמונד הילרי וטנזינג נורגיי,רפי ששן,אפשרות ג',
S2e9,מה יש בראש ההר? (על האוורסט וטיפוס),למה קשה לנשום בראש ההר?,כי יש ריח של דגים,כי הרוח חזקה מדי,כי האוויר דליל ויש פחות חמצן,כי השלג נכנס לאף,אפשרות ג',
S2e9,מה יש בראש ההר? (על האוורסט וטיפוס),איך נקראת התחושה הרעה שמרגישים בגובה רב?,מחלת הגבהים,מחלת הים,שפעת ההרים,עייפות הטיפוס,אפשרות א',
S2e9,מה יש בראש ההר? (על האוורסט וטיפוס),איזו חיה פגשו הבנות בדרך לפסגה?,פיל אפריקאי,פינגווין,אריה,יאק (שור הרים),אפשרות ד',
S2e9,מה יש בראש ההר? (על האוורסט וטיפוס),מה קורה למים כשמרתיחים אותם בגובה רב?,הם רותחים בטמפרטורה נמוכה יותר,הם קופאים מיד,הם הופכים לזהב,הם לא רותחים לעולם,אפשרות א',
S2e9,מה יש בראש ההר? (על האוורסט וטיפוס),איך חזרו סתיו ונדה למטה מההר?,ברגל לאט לאט,בתוך מעלית קסומה,בעזרת מצנחי רחיפה (או גלישה),הן נשארו שם לגור,אפשרות ג',
S2e9,מה יש בראש ההר? (על האוורסט וטיפוס),מה נדה רצתה לבנות על פסגת ההר?,גינה עם ברושים,בית מלון עם בריכה,דוכן למכירת ארטיקים,מגרש כדורגל,אפשרות ב',
